Bus YeXlNBi1xV6cLxsWpyTvAt: 75 stops on route, 38 unique stops, 1.33176e+06 route length
Bus VBIzDos27: 72 stops on route, 70 unique stops, 1.29053e+06 route length
Bus mvUWAjQJfLl50BYCSdfv0Jau: 97 stops on route, 93 unique stops, 1.72516e+06 route length
Bus h3Yp: 74 stops on route, 73 unique stops, 1.24765e+06 route length
Bus gfjVvxZqG6: 19 stops on route, 10 unique stops, 353770 route length
Bus Yjc4: 34 stops on route, 33 unique stops, 575081 route length
Bus gfjVvxZqG6: 19 stops on route, 10 unique stops, 353770 route length
Bus dDD: 63 stops on route, 32 unique stops, 1.18286e+06 route length
Bus e: not found
Bus dA: 3 stops on route, 2 unique stops, 36840.1 route length
Bus xq tY: 68 stops on route, 67 unique stops, 1.12925e+06 route length
Bus X0o: 89 stops on route, 83 unique stops, 1.62876e+06 route length
Bus ibFEUvhRFBMIKqB72y6P: 77 stops on route, 72 unique stops, 1.52975e+06 route length
Bus tEQvV9EpEOjmc5SMjwKSM: 71 stops on route, 36 unique stops, 1.25426e+06 route length
Bus dDD: 63 stops on route, 32 unique stops, 1.18286e+06 route length
Bus rIb1ZAYt2ivffZsz5Y: 27 stops on route, 24 unique stops, 397006 route length
Bus 9LocZYNrbmWQFEaA: not found
Bus sQxj8: 71 stops on route, 36 unique stops, 1.29658e+06 route length
Bus sQxj8: 71 stops on route, 36 unique stops, 1.29658e+06 route length
Bus G6zVoKpL6be36MxVxigpO9: 25 stops on route, 13 unique stops, 483817 route length
Bus G6zVoKpL6be36MxVxigpO9: 25 stops on route, 13 unique stops, 483817 route length
Bus Yo8a52g41CyY4aVh: 44 stops on route, 43 unique stops, 797754 route length
Bus r4cARPj: 27 stops on route, 14 unique stops, 541713 route length
Bus Dy 0jvJdultU8SFx3mYEgg: 37 stops on route, 19 unique stops, 806716 route length
Bus h3Yp: 74 stops on route, 73 unique stops, 1.24765e+06 route length
Bus r4cARPj: 27 stops on route, 14 unique stops, 541713 route length
Bus tr1r3U3: 45 stops on route, 23 unique stops, 617315 route length
Bus v5LdEDri6GL5tTh7Gn: 85 stops on route, 41 unique stops, 1.63509e+06 route length
Bus S56o241uet xefv2NVNZ: 27 stops on route, 14 unique stops, 458522 route length
Bus WGMP5: 71 stops on route, 34 unique stops, 1.33482e+06 route length
Bus m2IvykrFyx4tqPSdf: 69 stops on route, 35 unique stops, 1.08849e+06 route length
